"BehaviorSpace results (NetLogo 6.0.3)"
"Project_structure.nlogo"
"Main experiment - just final result"
"11/14/2018 18:11:17:764 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","technology-increase","[step]","municipality-stats 0","municipality-stats 1","municipality-stats 2","municipality-stats 3","municipality-stats 4","municipality-stats 5","municipality-stats 6","municipality-stats 7","municipality-stats 8","municipality-stats 9"
"3","0.5","240","29175,-0.13,0.5,1,1,15,false,false,240","27923,-0.12,1,0.5,1,15,true,true,240","21755,-0.09,0.75,0.75,0.75,3,true,true,240","41015,-0.1,1,0.5,0.5,9,true,false,240","32688,-0.09,0.5,1,0.75,9,false,true,240","16129,-0.07,1,0.5,0.25,12,true,true,240","34165,-0.13,0.5,1,1,3,false,false,240","26312,-0.1,0.75,0.75,0.75,12,true,false,240","17853,-0.1,0.5,1,0.25,15,false,true,240","18559,-0.14,0.75,0.75,1,18,true,false,240"
"5","0.5","240","39613,0,0.5,1,1,15,true,true,228","37586,-0.01,1,0.5,0.25,18,true,true,132","42292,0,1,0.5,1,18,true,true,120","37055,-0.03,0.5,1,0.75,6,false,true,156","64258,-0.02,0.75,0.75,0.5,18,true,true,149","23275,-0.01,0.75,0.75,1,6,false,false,156","18619,0.01,0.75,0.75,1,18,false,false,204","53168,-0.01,1,0.5,1,6,false,true,134","40109,-0.02,1,0.5,0.75,6,false,false,144","53107,-0.16,1,0.5,0.75,9,true,false,240"
"4","0.5","240","52020,-0.13,0.75,0.75,0.5,12,true,true,240","22404,-0.03,1,0.5,0.25,3,false,true,204","18515,-0.08,1,0.5,1,3,false,true,144","26894,-0.14,1,0.5,0.75,3,true,false,240","32821,-0.09,0.75,0.75,1,9,false,true,210","52408,-0.08,0.5,1,0.75,6,false,true,240","44733,-0.03,0.5,1,0.25,15,false,true,204","51793,-0.13,0.75,0.75,0.75,9,true,false,240","41827,-0.04,0.5,1,0.25,6,false,true,180","26517,-0.09,0.5,1,1,3,false,true,228"
"6","0.5","240","19307,-0.17,1,0.5,0.5,6,true,true,240","47630,-0.23,0.5,1,0.75,15,true,true,240","22339,-0.24,0.5,1,0.75,18,true,true,240","18249,-0.2,0.5,1,0.75,18,false,false,240","43456,-0.14,1,0.5,0.5,18,false,true,240","61314,-0.19,0.5,1,1,3,false,false,240","50967,-0.14,1,0.5,0.25,18,false,false,240","41339,-0.25,1,0.5,0.25,18,false,false,240","18500,-0.21,0.5,1,0.25,15,true,false,240","46739,-0.25,0.5,1,1,3,false,false,240"
"7","0.5","240","50315,-0.09,1,0.5,0.75,18,true,false,240","24584,-0.13,1,0.5,1,6,true,false,240","24099,-0.21,0.5,1,0.25,6,true,false,240","47903,-0.15,0.75,0.75,0.75,6,false,true,240","38510,-0.09,1,0.5,1,9,false,false,240","33031,-0.2,0.5,1,0.25,18,true,false,240","53051,-0.17,0.5,1,0.5,3,false,true,240","49375,-0.14,0.75,0.75,1,15,true,true,240","23246,-0.11,1,0.5,0.5,9,true,false,240","44100,-0.23,0.5,1,0.25,6,false,false,240"
"2","0.5","240","35359,-0.08,0.75,0.75,0.5,6,false,false,240","49103,-0.17,0.75,0.75,0.25,3,false,false,240","63906,-0.09,0.5,1,0.75,18,false,false,240","41123,-0.12,0.75,0.75,1,9,false,true,240","53496,-0.1,1,0.5,0.75,6,true,false,240","33244,-0.07,1,0.5,1,18,true,false,240","50452,-0.09,0.75,0.75,0.5,9,true,true,240","45373,-0.08,1,0.5,1,9,true,false,240","16314,-0.11,1,0.5,0.75,15,true,true,240","35142,-0.14,1,0.5,0.25,9,true,true,240"
"1","0.5","240","51443,-0.19,0.75,0.75,1,6,true,false,240","34536,-0.25,1,0.5,0.25,18,true,true,240","27044,-0.17,1,0.5,0.5,9,true,true,240","24656,-0.19,1,0.5,0.75,3,false,true,240","40741,-0.2,0.5,1,0.5,18,false,false,240","20868,-0.2,0.5,1,0.5,15,false,false,240","28286,-0.2,0.75,0.75,1,9,true,false,240","38437,-0.21,0.75,0.75,0.25,3,true,true,240","29997,-0.17,1,0.5,0.75,15,true,true,240","23143,-0.16,1,0.5,1,6,true,false,240"
"8","0.5","240","40156,-0.14,0.75,0.75,0.75,15,false,true,240","18650,-0.25,0.5,1,0.75,18,true,false,240","49969,-0.13,0.75,0.75,0.25,18,true,false,240","38066,-0.15,0.75,0.75,0.75,15,false,true,240","50439,-0.18,0.75,0.75,0.75,18,false,true,240","53347,-0.2,1,0.5,1,12,true,true,240","26733,-0.21,0.75,0.75,0.25,6,true,true,240","33680,-0.19,0.75,0.75,1,9,false,true,240","28699,-0.27,0.5,1,0.25,6,true,true,240","47409,-0.23,0.75,0.75,1,6,false,false,240"
"9","0.5","240","31231,-0.06,1,0.5,0.75,18,false,true,204","54218,0,0.75,0.75,0.5,15,false,false,216","44531,-0.08,1,0.5,0.25,18,true,true,169","50510,-0.07,0.5,1,0.75,12,false,false,228","44216,-0.03,1,0.5,0.5,12,false,true,156","49473,-0.07,0.75,0.75,0.5,15,true,false,228","45320,-0.05,0.75,0.75,1,18,false,false,216","56248,-0.06,0.5,1,1,6,true,false,216","22962,-0.05,1,0.5,1,3,false,true,216","13098,-0.03,0.75,0.75,0.25,15,false,true,204"
"11","0.5","240","56696,-0.1,0.75,0.75,1,3,false,false,240","23031,-0.09,1,0.5,0.25,18,false,true,240","18147,-0.14,0.5,1,1,9,false,false,240","44072,-0.1,0.75,0.75,0.75,18,true,false,240","17644,-0.11,0.5,1,0.5,6,false,true,240","55648,-0.15,0.5,1,1,3,false,true,240","48931,-0.11,1,0.5,0.5,12,false,true,240","28357,-0.11,0.75,0.75,1,18,true,true,240","58652,-0.11,1,0.5,0.75,12,false,false,240","47849,-0.1,0.5,1,0.25,15,false,true,240"
