"export-plot data (NetLogo 6.0.4)"
"Project_structure.nlogo"
"11/03/2018 21:42:14:218 +0100"

"MODEL SETTINGS"
"month-before-technology-increase","technology-increase","recycling-target-increase","month-before-target-increase"
"47","0.1","5","30"

"""Recycling target met"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","239"

"""default"""
"x","y","color","pen down?"
"0","0.517188990991112","0","true"
"1","0.5175151365774582","0","true"
"2","0.5178423507847933","0","true"
"3","0.5181706336131178","0","true"
"4","0.518499985062431","0","true"
"5","0.5188304051327337","0","true"
"6","0.5191618938240251","0","true"
"7","0.5194944511363057","0","true"
"8","0.5198280770695755","0","true"
"9","0.5201627716238341","0","true"
"10","0.5204985347990821","0","true"
"11","0.5208353665953189","0","true"
"12","0.5211732670125448","0","true"
"13","0.52151223605076","0","true"
"14","0.521852273709964","0","true"
"15","0.5221933799901574","0","true"
"16","0.5225355548913395","0","true"
"17","0.5228787984135109","0","true"
"18","0.5232231105566713","0","true"
"19","0.5235684913208207","0","true"
"20","0.5238598616790459","0","true"
"21","0.5241521291610862","0","true"
"22","0.524445293766942","0","true"
"23","0.5247393554966132","0","true"
"24","0.5250343143500997","0","true"
"25","0.5253301703274016","0","true"
"26","0.5256269234285188","0","true"
"27","0.5259245736534514","0","true"
"28","0.5262231210021993","0","true"
"29","0.5265225654747626","0","true"
"30","0.5268229070711412","0","true"
"31","0.5273750129771392","0","true"
"32","0.5279289904471304","0","true"
"33","0.5284848394811154","0","true"
"34","0.5290425600790937","0","true"
"35","0.5296021522410654","0","true"
"36","0.5273023496914542","0","true"
"37","0.532399835065292","0","true"
"38","0.5328360753777655","0","true"
"39","0.5332735844956914","0","true"
"40","0.5337123624190698","0","true"
"41","0.534152409147901","0","true"
"42","0.5345937246821847","0","true"
"43","0.5350363090219207","0","true"
"44","0.5354801621671096","0","true"
"45","0.5359252841177506","0","true"
"46","0.5363716748738445","0","true"
"47","0.5379719093358044","0","true"
"48","0.5384203969576788","0","true"
"49","0.5388701521647584","0","true"
"50","0.5393211749570427","0","true"
"51","0.5397734653345321","0","true"
"52","0.5402270232972264","0","true"
"53","0.5406818488451256","0","true"
"54","0.5411379419782297","0","true"
"55","0.5415953026965388","0","true"
"56","0.542053931000053","0","true"
"57","0.5425138268887717","0","true"
"58","0.5429749903626956","0","true"
"59","0.5434374214218243","0","true"
"60","0.543901120066158","0","true"
"61","0.5444818232197665","0","true"
"62","0.5450642098268547","0","true"
"63","0.5455577957363131","0","true"
"64","0.5460144150723784","0","true"
"65","0.5464722853409973","0","true"
"66","0.5469314065421702","0","true"
"67","0.5473917786758966","0","true"
"68","0.5478534017421771","0","true"
"69","0.5483162757410112","0","true"
"70","0.548780400672399","0","true"
"71","0.5492457765363407","0","true"
"72","0.5579871110709307","0","true"
"73","0.5593312789556976","0","true"
"74","0.5598215442793305","0","true"
"75","0.5603131325361581","0","true"
"76","0.5608060437261806","0","true"
"77","0.5613002778493978","0","true"
"78","0.56179583490581","0","true"
"79","0.5622927148954169","0","true"
"80","0.5627909178182187","0","true"
"81","0.5632904436742152","0","true"
"82","0.5637912924634064","0","true"
"83","0.5642934641857927","0","true"
"84","0.5647969588413737","0","true"
"85","0.5653017764301494","0","true"
"86","0.5658079169521202","0","true"
"87","0.5663153804072855","0","true"
"88","0.5668241667956456","0","true"
"89","0.5673342761172009","0","true"
"90","0.5678457083719506","0","true"
"91","0.5683584635598953","0","true"
"92","0.5688725416810347","0","true"
"93","0.5693879427353691","0","true"
"94","0.5710144197370611","0","true"
"95","0.571531761023705","0","true"
"96","0.5720504233524979","0","true"
"97","0.5725704067234403","0","true"
"98","0.5730917111365316","0","true"
"99","0.5736143365917721","0","true"
"100","0.5741382830891617","0","true"
"101","0.5746635506287007","0","true"
"102","0.5751901392103888","0","true"
"103","0.5757180488342258","0","true"
"104","0.5762472795002124","0","true"
"105","0.5767778312083477","0","true"
"106","0.5773097039586325","0","true"
"107","0.5778428977510662","0","true"
"108","0.580913268724419","0","true"
"109","0.582139992504096","0","true"
"110","0.5828224861640634","0","true"
"111","0.5835069382868453","0","true"
"112","0.5841933488724416","0","true"
"113","0.584881717920852","0","true"
"114","0.5855720454320766","0","true"
"115","0.5862643314061156","0","true"
"116","0.5869585758429686","0","true"
"117","0.587654778742636","0","true"
"118","0.5883529401051178","0","true"
"119","0.5890530599304138","0","true"
"120","0.5896337421794924","0","true"
"121","0.5901606818314417","0","true"
"122","0.5906891819558996","0","true"
"123","0.5912192425528663","0","true"
"124","0.5917508636223416","0","true"
"125","0.5922840451643258","0","true"
"126","0.5928187871788185","0","true"
"127","0.5933550896658202","0","true"
"128","0.5938929526253306","0","true"
"129","0.5944323760573496","0","true"
"130","0.5949733599618774","0","true"
"131","0.5955159043389139","0","true"
"132","0.5960600091884591","0","true"
"133","0.5966056745105133","0","true"
"134","0.597152900305076","0","true"
"135","0.5977016865721472","0","true"
"136","0.5982520333117276","0","true"
"137","0.5988039405238164","0","true"
"138","0.5993574082084141","0","true"
"139","0.5999124363655204","0","true"
"140","0.6004690249951354","0","true"
"141","0.6021056577940549","0","true"
"142","0.6026645485671908","0","true"
"143","0.6032249974920559","0","true"
"144","0.6070329898606162","0","true"
"145","0.6095765219668897","0","true"
"146","0.6101632569047711","0","true"
"147","0.6107514789464649","0","true"
"148","0.611341188091971","0","true"
"149","0.6119323843412896","0","true"
"150","0.6125250676944203","0","true"
"151","0.6131192381513636","0","true"
"152","0.6137148957121192","0","true"
"153","0.6143120403766871","0","true"
"154","0.6149106721450673","0","true"
"155","0.6155107910172599","0","true"
"156","0.6161123969932649","0","true"
"157","0.6167154900730825","0","true"
"158","0.617320070256712","0","true"
"159","0.617926137544154","0","true"
"160","0.6185336919354084","0","true"
"161","0.6191427334304754","0","true"
"162","0.6196817716948201","0","true"
"163","0.6201260415937289","0","true"
"164","0.6205714284321436","0","true"
"165","0.6210179322100645","0","true"
"166","0.6214655529274916","0","true"
"167","0.6219142905844249","0","true"
"168","0.6223641451808644","0","true"
"169","0.6228151167168097","0","true"
"170","0.6232672051922612","0","true"
"171","0.6237204106072191","0","true"
"172","0.6241747329616831","0","true"
"173","0.6246301722556532","0","true"
"174","0.6250867284891294","0","true"
"175","0.6255444016621118","0","true"
"176","0.6260031917746003","0","true"
"177","0.6264630988265949","0","true"
"178","0.626924122818096","0","true"
"179","0.627376094128002","0","true"
"180","0.6274137411286825","0","true"
"181","0.6283650126723438","0","true"
"182","0.6287114977869834","0","true"
"183","0.6290587442076192","0","true"
"184","0.6294067519342512","0","true"
"185","0.6297555209668795","0","true"
"186","0.630105051305504","0","true"
"187","0.6304553429501245","0","true"
"188","0.6318559647854951","0","true"
"189","0.6322072186433702","0","true"
"190","0.6325592326561319","0","true"
"191","0.6329120068237798","0","true"
"192","0.6332655411463143","0","true"
"193","0.6336198356237349","0","true"
"194","0.6339748902560421","0","true"
"195","0.6343307050432355","0","true"
"196","0.6346872799853155","0","true"
"197","0.6350446150822818","0","true"
"198","0.6354027103341343","0","true"
"199","0.6357615657408734","0","true"
"200","0.6361211813024988","0","true"
"201","0.6364222101071318","0","true"
"202","0.63658508603188","0","true"
"203","0.6367481578512735","0","true"
"204","0.6369114255653117","0","true"
"205","0.6370748891739948","0","true"
"206","0.6372385486773228","0","true"
"207","0.6374024040752958","0","true"
"208","0.6375664553679137","0","true"
"209","0.6377307025551766","0","true"
"210","0.6378951456370843","0","true"
"211","0.6380597846136371","0","true"
"212","0.6382246194848348","0","true"
"213","0.6383896502506773","0","true"
"214","0.6385548769111649","0","true"
"215","0.6387202994662975","0","true"
"216","0.640582570819654","0","true"
"217","0.6431649252987571","0","true"
"218","0.643358212105024","0","true"
"219","0.6435517333363545","0","true"
"220","0.643745488992749","0","true"
"221","0.6439394790742073","0","true"
"222","0.6441337035807294","0","true"
"223","0.6443281625123154","0","true"
"224","0.6445228558689652","0","true"
"225","0.6447177836506787","0","true"
"226","0.6449129458574561","0","true"
"227","0.645108342489297","0","true"
"228","0.6453039735462022","0","true"
"229","0.6454998390281709","0","true"
"230","0.6456959389352035","0","true"
"231","0.6458700264609104","0","true"
"232","0.6460404126756281","0","true"
"233","0.6462110141821723","0","true"
"234","0.6463818309805432","0","true"
"235","0.6475823682426856","0","true"
"236","0.6477533036276366","0","true"
"237","0.6479244539146306","0","true"
"238","0.6480958191036671","0","true"
