"BehaviorSpace results (NetLogo 6.0.4)"
"Project_structure.nlogo"
"Sensitivity Analysis base run"
"11/18/2018 16:52:38:009 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","recycling-target","eta","theta-old","theta-single","theta-family","theta-couple","investment-multiplier","betas-decrease-multiplier","investment-cost","recycling-target-increase","num-municipalities","num-RC","[step]","municipality-stats 0","municipality-stats 1","municipality-stats 2","municipality-stats 3","municipality-stats 4","municipality-stats 5","municipality-stats 6","municipality-stats 7","municipality-stats 8","municipality-stats 9"
"3","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1229.8874,0.05,0.5,1,0.25,18,false,false,96","1179.54513,0.05,1,0.5,0.75,3,false,false,36","1286.39479,0.06,1,0.5,0.5,12,true,false,12","1179.17188,0.04,0.5,1,0.25,15,false,true,72","1170.04503,0.05,0.5,1,1,3,false,true,48","1255.53187,0.05,0.75,0.75,0.75,6,true,true,33","1336.10914,0.05,0.5,1,0.5,18,true,true,36","1165.32434,0.04,0.75,0.75,0.25,12,false,true,108","1148.93884,0.05,0.5,1,0.25,3,true,true,108","1254.57498,0.05,1,0.5,0.75,15,false,false,36"
"2","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1062.60964,0.04,1,0.5,0.25,3,false,true,60","1142.50323,0.05,1,0.5,0.5,18,true,true,12","1301.30426,0.05,0.5,1,1,9,true,false,12","1066.24562,0.06,1,0.5,0.25,18,true,true,36","1214.23942,0.05,0.5,1,0.25,9,false,false,36","1160.73471,0.05,0.5,1,0.75,3,true,true,12","1104.83504,0.04,0.75,0.75,0.5,12,false,true,24","1094.4437,0.05,1,0.5,0.25,15,true,true,48","1140.20643,0.06,0.75,0.75,0.25,12,true,false,36","1074.46105,0.04,1,0.5,0.75,6,false,true,9"
"4","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1484.71605,0.05,0.5,1,1,12,true,false,12","1219.7871,0.04,0.75,0.75,0.25,18,false,true,132","1368.70656,0.05,0.5,1,0.5,6,true,false,24","1145.22384,0.06,1,0.5,0.25,9,true,false,72","1399.06083,0.06,0.5,1,1,6,true,false,36","1170.94005,0.05,1,0.5,0.25,15,false,false,96","1377.49343,0.05,0.5,1,1,3,true,false,24","1300.49458,0.06,0.75,0.75,1,15,true,false,31","1279.55553,0.06,0.75,0.75,1,18,true,false,36","1293.68782,0.05,0.5,1,0.25,15,false,false,108"
"5","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1342.27042,0.05,1,0.5,0.75,12,true,false,12","1244.85986,0.05,0.75,0.75,1,3,true,true,36","1296.04472,0.05,0.75,0.75,0.5,15,false,false,48","1305.22851,0.05,0.75,0.75,1,3,true,false,12","1357.15122,0.05,0.5,1,0.75,3,false,false,36","1279.49317,0.06,0.5,1,0.5,9,true,false,50","1114.86779,0.05,0.75,0.75,0.25,12,true,true,108","1263.99758,0.04,0.5,1,0.75,15,false,true,48","1225.0804,0.05,0.75,0.75,0.25,6,true,false,84","1154.14215,0.04,1,0.5,0.5,18,false,true,36"
"6","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1117.39151,0.07,1,0.5,0.75,15,true,false,108","1194.88868,0.06,0.5,1,0.5,3,true,true,120","1178.45883,0.06,0.5,1,1,15,true,false,84","1280.32224,0.05,0.75,0.75,0.5,3,true,true,72","1234.79111,0.06,0.75,0.75,0.25,15,true,false,132","1163.19723,0.07,1,0.5,1,15,true,false,84","1253.81867,0.05,1,0.5,0.5,3,false,true,84","1246.8505,0.06,0.5,1,0.5,9,true,false,146","1247.29512,0.05,0.75,0.75,0.75,3,false,false,84","1195.28847,0.05,0.75,0.75,0.25,12,false,false,144"
"7","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1456.67931,0.06,0.75,0.75,1,18,false,false,132","1097.94274,0.07,0.75,0.75,0.5,9,true,false,156","1153.06335,0.06,0.5,1,0.25,18,true,true,192","1153.58564,0.05,0.5,1,0.25,18,true,true,192","1218.03808,0.06,1,0.5,0.5,3,true,false,127","1314.93444,0.06,0.75,0.75,1,18,true,true,60","1195.65476,0.06,0.75,0.75,0.25,9,true,true,180","1359.6026,0.04,0.75,0.75,0.5,3,false,true,48","1307.68305,0.05,0.5,1,0.5,15,false,true,120","1146.93006,0.04,0.5,1,0.25,6,false,true,132"
"9","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1301.69391,0.05,0.75,0.75,0.5,12,true,false,48","1104.52383,0.05,1,0.5,0.25,3,false,true,144","1132.71118,0.06,0.75,0.75,0.25,15,true,false,72","1423.52803,0.04,0.5,1,1,9,false,true,72","1248.74538,0.06,0.75,0.75,0.5,6,true,false,55","1229.90296,0.05,0.5,1,1,15,false,false,48","1112.81325,0.05,1,0.5,1,12,false,true,48","1268.62046,0.06,0.75,0.75,0.75,15,true,false,60","1219.39863,0.06,1,0.5,0.25,9,true,false,87","1187.48431,0.05,0.5,1,0.5,9,true,true,60"
"8","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1241.74681,0.06,1,0.5,0.5,18,false,false,72","1302.24574,0.05,0.5,1,1,15,true,true,24","1272.45007,0.04,0.5,1,0.25,15,true,true,72","1105.01252,0.04,0.5,1,0.25,3,false,true,60","1334.80152,0.05,0.75,0.75,1,15,false,false,60","1222.63225,0.06,0.5,1,0.5,12,true,true,60","1312.55542,0.05,0.75,0.75,1,15,true,false,12","1225.0674,0.04,0.5,1,0.5,3,false,true,60","1348.39836,0.06,1,0.5,1,9,false,false,74","1248.44074,0.06,0.75,0.75,0.25,18,true,false,108"
"1","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1207.84093,0.05,0.75,0.75,0.25,3,false,false,120","1138.46179,0.05,1,0.5,0.25,12,true,true,120","1203.64643,0.05,0.5,1,1,3,false,false,84","1105.03142,0.05,0.75,0.75,0.25,12,false,false,120","1207.92625,0.05,0.75,0.75,1,18,false,false,60","1119.03163,0.07,0.75,0.75,0.75,15,true,false,108","1310.13878,0.05,1,0.5,0.25,12,true,true,108","1135.56155,0.05,0.5,1,0.75,3,true,true,72","1158.5508,0.04,0.5,1,0.25,15,false,true,120","1218.77276,0.06,0.75,0.75,0.25,9,true,true,120"
"10","0.65","0.35","0.3","0.5","1","0.8","0.002","5.0E-4","20","15","10","5","240","1147.31707,0.05,1,0.5,0.5,3,false,true,60","1214.69142,0.05,0.5,1,0.5,15,true,true,96","1056.3739,0.08,1,0.5,1,18,true,false,72","1184.02932,0.06,0.5,1,0.5,3,true,false,84","1124.0814,0.06,1,0.5,0.25,9,true,false,120","1087.22783,0.06,1,0.5,0.25,18,true,false,84","1191.85069,0.05,1,0.5,0.25,15,false,false,120","1158.0191,0.05,0.5,1,0.25,6,true,true,144","1107.32204,0.07,1,0.5,0.75,15,true,false,72","1192.40891,0.05,0.5,1,0.5,3,false,false,144"
