"technology.increase","kpi_expenditure","kpi_final_gap","kpi_failure_count","behavior_importance_tendency","behavior_knowledge_tendency","behavior_target_tendency","behavior_price_tendency","behavior_sq_investment","behavior_centralized"
"0.5",48239,-0.02,144,"0.75","0.75","0.75","9",FALSE,FALSE
"0.5",48669,-0.12,240,"1","0.5","0.25","9",TRUE,TRUE
"0.5",26341,-0.08,144,"0.75","0.75","1","3",TRUE,TRUE
"0.5",45037,-0.19,240,"0.5","1","0.5","3",TRUE,FALSE
"0.5",25667,-0.03,144,"0.75","0.75","0.25","6",FALSE,FALSE
"0.5",44524,-0.03,156,"0.5","1","0.5","15",FALSE,TRUE
"0.5",44646,-0.03,180,"0.75","0.75","0.5","6",FALSE,TRUE
"0.5",48877,-0.11,240,"0.75","0.75","1","12",FALSE,TRUE
"0.5",23537,-0.04,204,"1","0.5","1","3",TRUE,TRUE
"0.5",64082,-0.03,144,"0.75","0.75","0.5","12",FALSE,TRUE
"0.5",51247,-0.16,240,"0.75","0.75","1","9",FALSE,FALSE
"0.5",49891,-0.07,228,"0.5","1","0.75","18",TRUE,TRUE
"0.5",22313,-0.12,240,"0.75","0.75","0.25","18",TRUE,FALSE
"0.5",32827,-0.09,240,"0.75","0.75","1","12",TRUE,FALSE
"0.5",30182,-0.1,240,"0.75","0.75","1","9",TRUE,TRUE
"0.5",40223,-0.01,130,"0.75","0.75","1","9",FALSE,FALSE
"0.5",44347,-0.04,148,"0.5","1","0.25","15",FALSE,TRUE
"0.5",59690,-0.07,192,"0.5","1","1","12",FALSE,FALSE
"0.5",34003,-0.07,228,"1","0.5","0.5","9",FALSE,FALSE
"0.5",25754,-0.09,240,"1","0.5","0.75","6",TRUE,FALSE
"0.5",32598,-0.06,228,"0.75","0.75","0.75","6",TRUE,FALSE
"0.5",31707,-0.19,240,"0.5","1","0.25","15",TRUE,FALSE
"0.5",30033,-0.01,144,"0.5","1","1","12",TRUE,TRUE
"0.5",39574,-0.06,240,"1","0.5","0.5","15",FALSE,FALSE
"0.5",48155,-0.08,240,"0.75","0.75","0.75","15",TRUE,FALSE
"0.5",53003,-0.07,228,"0.5","1","0.75","9",TRUE,FALSE
"0.5",37829,-0.07,193,"1","0.5","0.75","18",FALSE,TRUE
"0.5",25813,-0.22,240,"0.75","0.75","0.75","15",TRUE,FALSE
"0.5",46638,-0.11,240,"1","0.5","0.5","18",TRUE,FALSE
"0.5",20630,-0.01,144,"1","0.5","1","3",FALSE,TRUE
"0.5",50284,-0.01,228,"0.75","0.75","0.5","6",FALSE,FALSE
"0.5",25508,-0.16,240,"0.5","1","0.25","9",FALSE,FALSE
"0.5",21014,-0.13,240,"0.5","1","0.5","9",TRUE,FALSE
"0.5",15552,-0.12,240,"0.5","1","0.5","18",TRUE,FALSE
"0.5",18592,-0.13,240,"0.75","0.75","0.5","3",TRUE,FALSE
"0.5",47080,-0.11,240,"1","0.5","1","15",FALSE,TRUE
"0.5",25340,-0.02,144,"0.75","0.75","0.75","18",FALSE,TRUE
"0.5",44532,-0.21,240,"0.5","1","0.75","18",FALSE,TRUE
"0.5",33116,-0.05,132,"0.75","0.75","1","18",TRUE,FALSE
"0.5",27373,-0.13,240,"0.75","0.75","0.25","6",TRUE,TRUE
"0.5",30654,-0.17,240,"1","0.5","0.5","18",TRUE,FALSE
"0.5",35516,-0.06,228,"1","0.5","0.5","6",TRUE,TRUE
"0.5",33890,-0.19,240,"0.5","1","0.75","18",TRUE,TRUE
"0.5",54102,-0.18,240,"0.5","1","1","18",TRUE,TRUE
"0.5",56009,-0.23,240,"0.5","1","0.25","18",FALSE,TRUE
"0.5",43682,-0.01,148,"1","0.5","0.75","6",TRUE,TRUE
"0.5",39404,-0.11,240,"0.5","1","1","6",TRUE,FALSE
"0.5",25710,-0.15,240,"1","0.5","0.5","18",TRUE,FALSE
"0.5",57491,-0.16,240,"0.5","1","0.5","18",TRUE,TRUE
"0.5",41249,-0.09,240,"1","0.5","1","15",FALSE,FALSE
"0.5",52347,-0.1,240,"0.5","1","0.5","12",FALSE,TRUE
"0.5",21350,-0.01,204,"0.75","0.75","0.5","15",FALSE,TRUE
"0.5",21476,-0.13,240,"1","0.5","1","15",TRUE,FALSE
"0.5",39732,-0.07,204,"0.5","1","0.5","9",TRUE,TRUE
"0.5",46872,-0.11,180,"1","0.5","1","9",TRUE,TRUE
"0.5",33230,-0.18,240,"1","0.5","1","12",TRUE,TRUE
"0.5",42608,-0.13,240,"1","0.5","1","12",TRUE,TRUE
"0.5",46627,-0.18,240,"0.5","1","0.75","3",FALSE,TRUE
"0.5",47727,-0.03,156,"0.5","1","0.25","6",TRUE,TRUE
"0.5",50109,-0.11,240,"0.75","0.75","0.25","3",FALSE,TRUE
